tr isim,os_isim 
Taybar, تايبار
Tarkan, تارقان
Tansu, طاڭصو
Tansel, تانسل
Talip, طالب
Talat, طلعت
Taha, طاها
Tacettin, تاج الدّين
Şeref, شرف
Şahinde, شاهينده
Şule, شعله
Şükür, شكر
Şüheda, شهدا
Şuayb, شعيب
Şivan, شيوان
Şiar, شعار
Şeyda, شِیدا
Şevki, شوقي
Şevket, شوکت
Şentürk, شنتورك
Şennur, شن نور
Şeniz, شنيز
Şendoğan, شن دوغان
Şenay, شن آى
Şehriban, شهربان
Şehnaz, شهناژ
Şefika, شفيقه
Şahan, شاهان
Şaduman, شادمان
Sudenur, سوده نور
Sude, سوده
Siyabend, سييابند
Sıtkı, صدقى
Sırma, صئرمه
Simge, سيمگه
Sıla, صله
Sezgi, سزكى
Seyyide, سيّده
Seyyid, سيّد
Seyhan, سيخان
Seyfullah, سِیف‌الله
Sevinç, سوينچ
Sevil, سِویل
Sevdegül, سوده كل
Sevde, سوده
Sevdanur, سودانور
Sevcan, سوجان
Sevban, ثَوبان
Serya, سريا
Server, سرور
Sertan, سرتان
Sertaç, سرتاچ
Serra, سرّاء
Serhat, سرحد
Serenay, سرناى
Serdem, سردم
Serçiyan, سرچييان
Sercan, سرجان
Senanur, ثنانور
Sena, ثَنا
Semanur, سمانور
Selviye, سلويه
Selina, سلينا
Selin, سَلین
Selay, سلاى
Sefer, سفر
Seden, سدن
Sedef, صدف
Sedanur, صدانور
Seçkin, سچكين
Satılmış, صاتيلمش
Sarp, صارپ
Sara, سارا
Sancaklı, سانجاقلى
Safa, صفا
Sadıka, صادقه
Saadettin, سعد الدّين
Sadegül, ساده كل
Sabahattin, صباحالدّين
Raif, راءف
Raşide, راشده
Rüzgar, روزگار
Rüveyde, رويده
Rüştü, رشدى
Ruşen, روشن
Rıfat, رفعت
Reha, رها
Rasime, راسمه
Rasim, راسم
Rana, رعنا
Ramiz, رامز
Polat, پولات
Paşa, پاشا
Ömürlü, عمرلو
Ömür, عمر
Özüberk, اوزىبرك
Öztürk, اوزتورك
Özsu, اوزصو
Özkan, اوزقان
Özhan, اوزخان
Özgürhan, اوزكورخان
Özen, اوزن
Özden, اوزدن
Öykü, اويكو
Ölmez, اولمز
Orhanalp, اورخان الپ
Nurçin, نورچين
Nurseven, نورسون
Nazik, نازك
Nusret, نُصرت
Nurulhüda, نورالهدا
Nurmelek, نورملك
Nurgül, نوركل
Nurdan, نوردن
Nurbanu, نوربانو
Niyazi, نيازى
Nisanur, نسانور
Nihan, نهان
Nida, نِدا
Nezir, نَذیر
Nevanur, نوانور
Neva, نوا
Neslişah, نسل شاه
Neşe, نشءه
Nehir, نهر
Nedime, نَدیمه
Nedim, نديم
Necibe, نجيبه
Necip, نَجیب
Nazlıcan, نازلى جان
Nazan, نازان
Nagihan, ناگهان
Nagehan, ناگهان
Nafize, نافذه
Nafiz, نافذ
Nafiye, نافيه
Nadiye, ناديه
Minnet, منّت
Mahperi, ماهپرى
Meserret, مسرّت
Müyesser, ميسّر
Müslüm, مسلم
Müslime, مسلمه
Müslim, مُسلِم
Müşerref, مشرّف
Muradiye, مراديه
Munise, مونسه
Mülhime, ملهمه
Mukaddes, مقدّس
Müjgan, مژگان
Müjdat, موژداد
Müge, موكه
Mücella, مجلّا
Mücahit, مجاهد
Müberra, مبرّا
Muaz, معاذ
Mualla, معلّى
Mirza, ميرزا
Miray, ميراى
Mindaş, مينطاش
Mina, مئنا
Mikdat, مقداد
Meyra, ميرا
Mevlüt, مولد
Mevlit, مولد
Meva, مأوى
Meriha, مريخه
Merih, مريخ
Mennan, منّان
Menekşe, منكشه
Melisa, ملیسا
Melda, ملدا
Mekiye, مكئه
Mazlum, مظلوم
Maksut, مقصود
Mahsun, محسون
Mahinur, ماه نور
Mahidevran, ماهدوران
Lütfü, لطفى
Lokman, لقمان
Levent, لوند
Leman, لمعان
Lami, لامع
Kiraz, كيراز
Kutluhan, قوتلى خان
Kutay, قوتاى
Koray, قوراى
Kıvanç, قيوانچ
Kibariye, كباريه
Keskinkılıç, كسكين قيليچ
Kayra, قايرا
Kaya, قايا
Kardelen, قاردلن
Kamuran, کامران
Kamber, قنبر
Kalender, قلندر
Kahraman, قهرمان
Kağan, قاغان
Kaan, قاآن
İzzet, عِزت
İsrafil, اِسرافیل
Ismahan, اسم خان
İsmihan, اسم خان
İskender, اسکندر
İrfan, عرفان
İpek, ایپک
İmdat, امداد
İlker, ايلكر
İlke, ايلكه
İlkay, ايلك آى
İlhami, الهامى
İlgi, ايلكى
İlayda, ايلايدا
İkrime, اكرمه
İkra, اقرأ
İkbal, اِقبال
İdris, اِدریس
İclal, اِجلال
Iraz, ايراز
Haris, حارث
Hicran, هجران
Huzeyfe, حذيفه
Hüsnü, حسنى
Hüsna, حسنى
Hürü, خرو
Hürcan, حرجان
Hunalp, حون آلپ
Hüma, هُما
Hulusi, خلوصى
Hivel, هيول
Hilmiye, حلميه
Hidayet, هدايت
Helin, هلين
Hazim, حازم
Hayrettin, خئرالدّين
Hayati, حياتى
Hayat, حیات
Havvanur, حوّا نور
Havana, حوا آنا
Hatun, خاتون
Hasret, حسرت
Hande, خنده
Halise, خالصه
Hale, هاله
Hakkı, حقّى
Habil, هابیل
Habib, حبيب
Gürsel, كورسل
Güven, كوون
Gürkan, گورقان
Gürhan, كورخان
Gurbet, غربت
Güntülü, كونتولى
Güner, كونر
Gündüz, كوندوز
Gümüş, كوموش
Gülserap, كل سراب
Gülsefa, كلصفا
Gülperi, كل پرى
Gülnur, كلنور
Gülnazik, كلنازك
Gülendam, كل اندام
Gülen, كولن
Gülbin, كلبين
Güçer, كوچر
Göktuğ, گوكتوغ
Gökçen, گوكچن
Gizem, كيزم
Gaye, غايه
Fethullah, فتح الله
Furkan, فُرقان
Fulya, فوليا
Firkat, فرقت
Fidaye, فدايه
Feyyaz, فیاض
Fevzi, فوزى
Fettah, فتّاح
Fesih, فصيح
Ferhunde, فرخنده
Ferda, فردا
Fehmi, فهمى
Fedakar, فذاكار
Fatmanur, فاطمه نور
